name,magnitude,constellation
天狼星,-1.46,大犬座
弧矢七,1.5,大犬座
弧矢一,1.82,大犬座
軍市一,1.99,大犬座
弧矢二,2.45,大犬座
老人星,-0.74,船底座
南船五,1.69,船底座
海石一,1.86,船底座
海石二,2.21,船底座
南船三,2.76,船底座
海石五,2.97,船底座
南門二,-0.27,半人馬座
馬腹一,0.61,半人馬座
庫樓三,2.06,半人馬座
庫樓七,2.17,半人馬座
南門一,2.3,半人馬座
庫樓二,2.35,半人馬座
庫樓一,2.55,半人馬座
馬尾三,2.57,半人馬座
柱十一,2.73,半人馬座
大角星,-0.05,牧夫座
梗河一,2.37,牧夫座
右攝提一,2.68,牧夫座
織女一,0.03,天琴座
五車二,0.08,御夫座
五車五,1.65,御夫座/金牛座
五車三,1.9,御夫座
五車四,2.62,御夫座
五車一,2.69,御夫座
柱一,2.98,御夫座
參宿七,0.13,獵戶座
參宿四,0.42,獵戶座
參宿五,1.64,獵戶座
參宿二,1.69,獵戶座
參宿一,1.77,獵戶座
參宿六,2.09,獵戶座
參宿三,2.23,獵戶座
伐三,2.77,獵戶座
南河三,0.34,小犬座
南河二,2.89,小犬座
水尾一,0.46,波江座
玉井三,2.8,波江座
天園六,2.88,波江座
天苑一,2.95,波江座
河鼓二,0.76,天鷹座
河鼓三,2.71,天鷹座
吳越,2.98,天鷹座
河鼓一,3.71,天鷹座
十字架二,0.77,南十字座
十字架三,1.25,南十字座
十字架一,1.64,南十字座
十字架四,2.79,南十字座
畢宿五,0.86,金牛座
昴宿六,2.87,金牛座
天關,3.01,金牛座
心宿二,0.96,天蠍座
尾宿八,1.62,天蠍座
尾宿五,1.84,天蠍座
房宿三,2.31,天蠍座
尾宿二,2.31,天蠍座
尾宿七,2.39,天蠍座
房宿四,2.5,天蠍座
尾宿九,2.7,天蠍座
心宿三,2.82,天蠍座
心宿一,2.88,天蠍座
房宿一,2.89,天蠍座
角宿一,0.97,室女座
東上相,2.74,室女座
東次將,2.83,室女座
北河三,1.14,雙子座
北河二,1.58,雙子座
井宿三,1.92,雙子座
井宿一,2.86,雙子座
北落師門,1.16,南魚座
天津四,1.25,天鵝座
天津一,2.23,天鵝座
天津九,2.48,天鵝座
天津二,2.87,天鵝座
星名,星等,星座
輦道增七,3.05,天鵝座
軒轅十四,1.39,獅子座
軒轅十二,2.08,獅子座
五帝座一,2.11,獅子座
西上相,2.56,獅子座
軒轅九,2.98,獅子座
鶴一,1.74,天鶴座
鶴二,2.15,天鶴座
玉衡,1.77,大熊座
天樞,1.79,大熊座
搖光,1.86,大熊座
開陽,2.27,大熊座
天璇,2.37,大熊座
天璣,2.44,大熊座
天權,3.31,大熊座
天船三,1.81,英仙座
大陵五,2.12,英仙座
捲舌四,2.86,英仙座
捲舌二,2.88,英仙座
天船二,2.93,英仙座
天社一,1.83,船帆座
天記,2.21,船帆座
天社三,1.96,船帆座
天社五,2.48,船帆座
海山增二,2.69,船帆座
箕宿三,1.85,人馬座
斗宿四,2.05,人馬座
斗宿六,2.59,人馬座
箕宿二,2.7,人馬座
斗宿二,2.82,人馬座
建三,2.89,人馬座
箕宿一,2.98,人馬座
三角形三,1.91,南三角座
三角形二,2.85,南三角座
三角形一,2.87,南三角座
勾陳一,1.98,小熊座
帝,2.08,小熊座
太子,3.05,小熊座
星宿一,2,長蛇座
平一,2.99,長蛇座
婁宿三,2,白羊座
婁宿一,2.66,白羊座
土司空,2.02,鯨魚座
天囷一,2.53,鯨魚座
奎宿九,2.05,仙女座
壁宿二,2.06,仙女座
天大將軍一,2.14,仙女座
壁宿二,2.06,飛馬座
危宿三,2.4,飛馬座
室宿二,2.42,飛馬座
室宿一,2.48,飛馬座
壁宿一,2.84,飛馬座
離宮四,2.95,飛馬座
侯,2.07,蛇夫座
宋/天市左垣十一,2.43,蛇夫座
韓,2.57,蛇夫座
宗正一,2.75,蛇夫座
梁,2.75,蛇夫座
貫索四,2.23,北冕座
天棓四,2.23,天龍座
少宰,2.73,天龍座
天棓三,2.79,天龍座
王良四,2.24,仙后座
王良一,2.28,仙后座
策,2.47,仙后座
閣道三,2.68,仙后座
閣道二,3.37,仙后座
弧矢增二十二,2.25,船尾座
弧矢九,2.73,船尾座
弧矢增三十三,2.78,船尾座
老人增一,2.95,船尾座
騎官十,2.3,豺狼座
騎官四,2.68,豺狼座
騎官一,2.77,豺狼座
火鳥六,2.38,鳳凰座
天鉤五,2.51,仙王座
軫宿一,2.59,烏鴉座
軫宿四,2.65,烏鴉座
軫宿三,2.96,烏鴉座
軫宿二,3.02,烏鴉座
廁一,2.59,天兔座
廁二,2.84,天兔座
氐宿四,2.61,天秤座
低宿一,2.74,天秤座
蜀,2.62,巨蛇座
丈人一,2.65,天鴿座
河中 (beta),2.81,武仙座
天紀二,2.81,武仙座
帝座,2.91,武仙座
壘壁陣四,2.81,摩羯座
虛宿一,2.87,寶瓶座
危宿一,2.94,寶瓶座
常陳一,2.91,獵犬座
